,Question,Answer,Sentiment (Positive / Negative / Neutral / Ambiguous)
504642,"What could the instructor do to improve the class?
","the instructor did well on all areas
",Positive
362742,"What were the strongest features of this class?
","This class is the definition of making you think. This course is entirely about the realities of the world around us, the ones that we often
don't think about because it doesn't effect us. I found myself talking with my friends about the topics covered in class and even reading
more about it outside of class. This professor is the most engaged professor I have ever had. She goes above and beyond to have a
connection with her students and makes sure that if you are having any difficulties outside of the class room that you don't feel alone.
",Positive
129279,"Please provide comments explaining how well the instructor did in answering questions.
","The professor always answered any questions from students.
",Positive
138024,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","Made the class interesting, used real life examples so that the material made more sense, and answered students questions.
",Positive
436800,"List specific things the instructor could do to improve his or her teaching effectiveness.
","I think the professor did great overall.
",Positive
126261,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","kept emailing us for updates and included topic discussions on titanium.
",Positive
530054,"What did the instructor do that you found particularly helpful or worthwhile?
","<Faculty Name> is one of the few that actually care, she genuinely wants you to succeed. There are no hand outs when it comes to her, you work hard
and you earn your way. She provides all tools for every person to be successful in her classroom and in the KNES department. How you
do in the class depends on what you do with those tools, and how hard you work towards your goals. Plain and simple! Easily one of my
favorite instructors here at CSUF!
",Positive
590389,"Please write any comments in the box below.
","Professor <Faculty Name> is by far the best professor I have ever had. She is always so understandable with everything going on and she
never had anything but nice things to say to her students. She really made it known that she was there for her students no matter what and
she really made me feel like she cared about us. On top of that, she responded to emails as quickly as she could and made sure whatever
question(s) you had were answered as best as possible. Additionally, the work load of her class was more than manageable, but still
challenged me intellectually which I enjoyed very much. I could continue to go on and on about how wonderful Professor <Faculty Name> is
for days. I truly have nothing but kind words for this woman and I wish I could have taken this class in person just because of how sweet
she has been throughout the entire semester.
",Positive
279874,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","The material was well organized, expectations were clear and she supplemented the lecture with examples either from her experience or
other examples.
",Positive
134620,"What did the instructor do well?
","The class was extremely well organized and easy to follow and know what work is assigned and due and how to do everything.
",Positive
309500,"Please provide comments explaining how well the instructor related class materials (for example, exams, assignments, and activities)
to the focus of the course.
","When we had to write papers for the class, they were always on who we were talking about at that point of class.
",Positive
85803,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","Great instructor that really goes out of his way to help and meet students. I really appreciate the effort he puts in to accommodate
students.
",Positive
242754,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","everything was very easily explained and all the dates were posted early so that we knew when to turn items in. and dealing with the covid
stuff, she made this all very easy, giving us other options to complete our hours and working with each student.
",Positive
192114,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","9/10. If she can make exam material straight to point then it would help a little. At times studying everything makes it difficult to retain so if
the study material is surrounded on point, it helps to study better.
",Positive
369691,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","try to explain examples in different way, not by textbook.
",Neutral
466992,"What could the instructor do to improve the class?
","Ask if we have any questions just a little less.
",Negative
12254,"Would you recommend that other students take this course from this instructor? Briefly explain.
","yes, the instructor is very organized and offers any help in her office hours, provides videos introducing the chapters, and explains
everything thoroughly 
",Positive
186028,"What did the instructor do well?
","Professor <Faculty Name> is very knowledgable on the subject matter. He made certain we were prepared for the exams in terms of material. Syllabus
was organized well in which we could prepare for exams and project.
",Positive
252754,"Additional comments?
","He's a great professor and really prepares his students for the real world!
",Positive
308897,"Please write your comments, positive and/or negative, that point out specific good or bad features of instruction in this class.  Your
constructive comments can be helpful to the instructor and to the department in improving the quality of instruction.
","no comment
",Ambiguous
320709,"What could you have done to make your learning experience in this course better?
","Continue to study hard and push to ask more questions.
",Positive
213128,"Provide an example and/or explanation that illustrates your rating in Question 4
","I think Professor Christian did an exceptional job with keeping us up to date. He sent out weekly emails and provided feedback on our
assignments. Online classes sometimes lack this communication but I think he did a great job keeping us updated throughout the course.
",Positive
186452,"Other Comments:
","No additional comments.
",Positive
107061,"Please provide comments explaining how well the instructor created an environment that encouraged learning.
","The professor was very interactive and focused on our learning experience.
",Positive
254777,"Additional comments:
","Awesome professor
",Positive
166344,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","I would definitely recommend this professor to my friends, the class was really interesting
",Positive
356721,"What could the instructor do to have improved the course of your learning experience?
","instructor relied on too much peer activity
",Neutral
187154,"The laboratory content (for example, level of difficulty, lab manual or textbook, other reading, lecture topic, exams, assignments).
","The lab material was difficult, but well explained by the professor.
",Positive
435431,"What did the instructor do well?
","Have discussions where we apply what we learn to our own lives.
",Positive
543364,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","Lectures are nice and the breakout rooms are helpful.
",Positive
434309,"In your opinion, what did the instructor do that you found particularly helpful or worthwhile?
","I found that her videos of her explaining the assingments and lectures were extremely helpful for a class that was fully online.
",Positive
397580,"List specific things the instructor could do to improve his or her teaching effectiveness.
","I felt at times that the lectures were a bit overwhelming and there wasn't much time to stop and absorb the information. The test questions
felt a bit tricky at times and it felt like I was trying to figure out what the questions were talking for most of the allotted quiz time.
",Positive
525399,"You may explain your yes/no answer to question number 3 in the space below.
","Not at this time.
",Neutral
6742,"Please provide any comments about the faculty member's teaching ability:
","<Faculty Name> is a supportive professor, however his teaching abilities would improve if he incorporated more feedback throughout the
clinical day.
",Positive
427754,"Please use the space below to provide additional comments about the instruction in this course. If you wish, include comments about
what you think the instructor has done particularly well, suggestions for possible improvements or changes, and/or explanations for
your responses to the above statements. Thank you.
","I really enjoyed Professor <Faculty Name>'s class. He responded fairly quickly to any of my emails and was always super helpful. The text he
provided and feedback was helpful in improving my writing.
",Positive
74078,"What did the instructor do that you found particularly helpful or worthwhile?
","He provided assignments 
",Positive
571284,"What did the instructor do well?
","recordings of past lectures were very helpful.
",Positive
158880,"What aspects of the course contributed the most to your learning experience?
","The real-life examples
",Positive
348620,"What suggestions do you have that might help the instructor increase the learning experience in this course?
","practice
",Positive
139565,"The laboratory administration (for example, grading policy and methods; number, length, and fairness of exams and assignments).
","reports were too frequent
",Neutral
206851,"List specific things the instructor could do to improve his or her teaching effectiveness.
","Felt rushed at times, and no time for questions. Maybe less can be covered per short lecture?
",Neutral
455707,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","Lectures were clear on the material.
",Positive
471693,"Please write additional comments below.
","If possible, ""brain breaks"" during class. There was alot of information within the lectures and the lectures were really long. It was hard to
focus for an extended period of time. Thank you so much for all your hard work!
",Positive
185095,"Other Comments:
","I loved this class!
",Positive
125112,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
",".
",Ambiguous
64106,"Please give suggestions on how this class can be improved.
","I believe we need more hands on experience with the concepts and more research on certain concepts.
",Negative
99771,"What did the instructor do well?
","Lectures were engaging, illustrating and expanding upon topics from the text.
",Positive
556720,"List specific things the instructor could do to improve his or her teaching effectiveness.
","I personally was confused at times of when assignments were due such the becoming a titan module
",Neutral
7194,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","really chill
",Positive
518466,"What could the instructor do to have improved the course?
","I think the lectures were a bit difficult to stay engaged in because they were just long powerpoint slides or readings. I wished there were
recorded lectures or live lectures.
",Negative
538511,"What did the instructor do well?
","Shows that he truly cares about his students. He pays attention well when students speak about themselves. Gives good constructive
criticism. Every assignment we had to complete was relevant to our lives and had a purpose of helping us in the long run.
",Positive
186806,"What could the instructor improve?
","Instead of reading off the slides, the instructor can expand on the lecture more. She also tends to get side tracked when giving her lectures
and tells us stories that relate to the topic a little.
",Neutral
57445,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","Professor <Faculty Name> is probably the most open-minded professor ever. I learned a lot in this class but my test scores shouldn't reflect that.
",Positive
343944,"In your opinion, what did the Director/Choreographer/Vocal Coach do that you found particularly helpful?
","paid special attention to the specificity of our choices and the lines
",Positive
522541,"Other Comments:
","The tests were pretty difficult for the situation were in right now. With everything online its just not the same with understanding the
material and having very long homework assignments twice a week did not help with trying to delicate my work load with other classes.
",Negative
227853,"You may explain your yes/no answer to question number 4 in the space below.
","it challenged me to apply what I am learning to the real world.
",Positive
585048,"What could the instructor do to improve the class?
","make the exam little easier
",Negative
151329,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","this class was very interesting. The book used current events unlike other textbooks that kept me engaged
",Positive
31622,"Please provide an example illustrating how the professor encouraged questions and/or discussion.
","provided text, powerpoints and additional outside sources for the content each week
",Neutral
153138,"Please provide comments explaning how effectively the instructor used class time. 
","always used most of the class time
",Positive
51467,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","He was always there to answer a question.
",Positive
29816,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","I appreciate that professor <Faculty Name> not only knows his the subject matter inside and out, but he knows how to teach students to understand
concepts in simple ways. He's clearly passionate the subject and his students 
",Positive
391466,"(Optional) Please make written comments which you believe may aid the instructor to maintain current high standards or which you
feel will help to improve course. If a grade of C or lower is given to any of the above questions, the instructors would benefit from
written comments.  Please write comments only in box below.
","<Faculty Name> is the greatest Art Professor that I have ever taken here at CSUF. He actually cares about all of his students and their growth
as future artist in the Entertainment arts industry. He finds the time to actually meet one on one with every student in every class and helps
them all to be successful and the best possible artist that they can possibly actually be. his class was not only fun but I actually learned a
ton from him  and now thanks to him I know more now from his class then before I ever walked in on the first day of class. Listen to me as I
know what I am talking about here as I was actually taking him for two classes this semester and I will defiantly be taking more with him as
the instructor in the near future that he is hopefully teaching. Their is only one real question here yet to be answered and that's why has
<Faculty Name> not been hired here yet as a full time staff member in visual the art department at CSUF? You seriously really need him here
as one of your full time professors believe and trust me in what I am saying here. Bottom Line Please Get Rid of Bad professors that don't
actually care about teaching or the personal Growth of their students like one Professor <Faculty Name> for example Who I say ""BOO!"" too
and will never take another class with ever again. And keep the best of the best who actually cares about teaching and the personal
Growth of all his students like one <Faculty Name> who all I can say is ""HELL YEAH!"" too and I will defiantly be taking another class with him
in the future.
",Positive
205126,"What could the instructor do to have improved the course of your learning experience?
","Though the narrated lectures were helpful, they were pretty long. Especially for an online class.
",Positive
383440,"Would you recommend this instructor to other students? Why, or why not?
","Yes, because COVID-19 really affected this class. The professor was not given the proper tools from CSUF for success. He is an older
gentleman that isn't proficient with technology and needed an IT personal for help.
",Negative
114546,"What did the instructor do well?
","Professor <Faculty Name> is really passionate about his job and his teaching style is good too. He organized the time very well and make the 3
hours class not so boring. His study guide is really helpfull too..
",Positive
399872,"Additional comments?
","Some of his remarks seem a little condescending at times but I can see he means well and is a good person. We had a lot of assignments
that were a bit stressful especially COVID.
",Positive
257656,"You may explain your yes/no answer to question number 1.4 in the space below.
","Yes, she did because she often engaged with the class and talked about all the different ideas brought up.
",Positive
483752,"Do you have any comments about the course materials (i.e. course syllabus, course outline, etc.)?
","Excellent course. Would highly recommend for anyone interested in Latin America.
",Positive
229754,"What could the instructor do to improve the class?
","Once we went fully online, he would just send weekly emails on what we would do and I was lost. It was difficult to understand the course
material. He gave us resources to reach out and get help but it was still difficult.
",Negative
103718,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","I think that they class should provide more actual discussion rather than just a single discussion post.
",Negative
200379,"Please provide comments explaining how well the instructor did in answering questions.
","When ever we had questions, she would answer them with great detail
",Positive
452032,"Provide an example and/or an explanation that illustrates your rating in Question 3
","Yes, I was intellectually challenged and I put a lot of thinking when reading the different stories/articles and writing about them in our
discussion posts.
",Positive
194040,"Please write any comments in the box below.
","I still remember the first day of class, when we went in to sit down and Professor <Faculty Name> started pseudo stuttering. At first I thought he
was really stuttering and wondered if a person who stutters teaches the fluency class. I thought that was a great way to catch our
attentions and to be interested in what we'll be learning in the class.
",Positive
543573,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","The instructor has done well with organizing the coursework. It was quite simple for me to find the course file. She also did well in
answering my questions. She was very responsive through emails.
",Positive
452520,"Your instructor would also like to know if you wish to suggest any specific things you believe might be done to improve his/her teaching
of this course.
","Nothing comes to mind.
",Positive
380828,"What did the instructor do that you found particularly helpful or worthwhile?
","Nothing, I feel although we had to ask her to do things that would help us.
",Positive
407054,"7) Do you have other comments?
","Thanks for making this course enjoyable!
",Positive
575759,"The laboratory content (for example, level of difficulty, lab manual or textbook, other reading, lecture topic, exams, assignments).
","Overall, the lab experiments were pretty manageable, was hard at first because she doesn't give us clear instructions of how we're going
to run the lab virtually. The lab reports themselves are pretty tough, in which she never gives us enough feedback on how to improve our
lab reports.
",Positive
432748,"Please provide comments regarding whether the instructor presented the course material in a clear and well organized manner.
","I like how on <Faculty Name> you could create modules, yet in TITANium you have to scroll around to get to an assignment. But for it being on
TITANium, it was well organized.
",Positive
266726,"Additional Comments:
","Very good class! Professor is very engaging, and teaches with lots of energy.
",Positive
312081,"List specific things the instructor could do to improve his or her teaching effectiveness.
","In lectures slides highlight in tables and graphs data that will be concentrated on.
",Positive
405884,"What did the instructor do that you found particularly helpful or worthwhile?
","Made sure she had online meeting to talk about exams
",Positive
105329,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","Materials are so heavy.
Tests are so hard.
",Negative
19263,"What did the instructor do well?
","He also made himself available during each class and very accessible for any question.
",Positive
471918,"What could the instructor do to have improved the course?
","Nothing
",Positive
281547,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","This professor was well-taught and I enjoyed how he had us analyze more deeply the way that we think and why we think in certain ways.
",Positive
121988,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","Great class! Yes this course has been difficult due to the assignments, but I highly appreciated the blunt feedback from <Faculty Name> and also
the quick responses of any questions I had.
",Positive
344351,"Would you recommend this instructor to other students? Why, or why not?
","Yes because if someone doesn’t understand then he explains it with care
",Positive
8885,"Please provide comments explaining how effectively the instructor used rehearsal time.
","Pieces were not covered thoroughly based on the amount of music there was to cover.
",Negative
18989,"What could the instructor do to have improved the course?
","Inform students earlier about the self assessment assignments
",Neutral
498163,"What could the instructor do to improve the class?
","not much, did a great job considering it was all online
",Positive
18097,"Additional Comments:
","I enjoyed the class. well done
",Positive
553284,"What did the instructor do well?
","Always provided a lot of examples and explained difficult code.
",Positive
393935,"Additional comments?
","Very good professor and have recommended to all my friends!
",Positive
271890,"What are the major strengths of the instructor of this course?
","The major strengths of this instructor are that she lectures very good and is always providing real life scenarios. This really captivates
student's attention and makes the class very interesting.
",Positive
260702,"Please write additional comments below.
","Was very accommodating for the class transition from in person to online. Was informative and supportive during this transition. Definitely
made this new experience of online classes easy to be comfortable with.
",Positive
125543,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","I like how interactive you are. Also I think you're a teacher who is actually passionate about their teaching, which I appreciate. You are very
organized and explain the material in a way that I can understand. Keep up the good work and good luck in the future!
",Positive
122700,"Please give feedback on what you found effective about the instructor’s teaching style.
","professor kohli interacts, well with students, he makes it easy to learn the material. He uses examples to explain the concept.
",Positive
551507,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","She was always able to follow her lectures. She provided an a lot of readings, and sometimes her slides seemed to be out of order but
",Positive
163022,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","Everything was straight forward and participation was important
",Positive
460925,"What could the instructor do to improve the class?
","There is just 11 questions in each exam. So that if you get one wrong answer in the exams, you will drop a letter grade.
",Negative
350518,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","The lectures followed a clear format and followed with a clear order. The students understood the order that the class would proceed with
in learning the information.
",Positive
147690,"The instructor (for example, lecture style, attitude towards students, teaching methods).
","Dr. <Faculty Name> is the best lab instructor I have had. He is very helpful and generous towards all students. He is always prepared and is able to
answer all questions.
",Positive
43636,"Please provide comments explaning how effectively the instructor used class time. 
","She used class time 60% to complain about young people, 20% to minimize the experiences of students of color, 10% ignoring her own
privileges at the expense of others, and 10% actually focusing of the course content.
",Positive
300188,"Provide an example and/or an explanation that illustrates your rating in Question 1
","The instructor communicated very clearly and well in class. For example the class participated a lot in asking questions and talking. The
instructor would allow us to give our opinions and she would provide more valuable information that made it easy to understand the topic
more.
",Positive
425086,"Please provide comments regarding your overall rating of this course (using comparable general education, upper division courses,
major or elective courses as criteria). 
","It's a really good class for general education classes. It was pretty straight forward and had its share of challenges, but was definitely worth
",Positive
57061,"Please provide comments explaining how well the instructor did to help diagnose and solve ensemble problems.
","Dr. <Faculty Name> didn't avoid addressing a problem the moment he heard it, whether it was us coming in sloppily or not shaping our dynamics
enough. I like things this way as it avoids us ""learning the tune wrong"" so to speak. It also shows that he's very invested in getting us to
play our best despite this course being ""just for fun"" for many non-majors.
",Positive
488473,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","Great class, very straightforward.
",Positive
247447,"Please write any comments in the box below.
","She loves her students and actually cares if her students are passing her class. She wants all her students to succeed and be able to learn
how to public speak without being nervous.
",Positive
383503,"Your instructor would like to know how you feel about the textbook or other learning materials:
","Slides were excellent. Feels like a textbook is not mandatory.
",Positive
208098,"In your opinion, what did the instructor do that you found particularly helpful or worthwhile?
","focused on each section in a detailed manner.
",Positive
417460,"What were the strongest features of this class?
","The videos were quite informative, and he did a good job at keeping things interesting and relevant wherever possible.
",Positive
21755,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","activities, time for questions, homework helped with understanding.
",Positive
210478,"Please provide an example illustrating how rigorous (challenging and maintains high standards) this instructor was.
","10/10
",Positive
556582,"What could the instructor do to improve the class?
","Be more understanding of students needs and questions, using slides instead of writing out lecture because writing was very difficult to
read, being more clear on what he is talking about.
",Neutral
565529,"(Optional) Please make written comments which you believe may aid the instructor to maintain current high standards or which you
feel will help to improve course. If a grade of C or lower is given to any of the above questions, the instructors would benefit from
written comments.  Please write comments only in box below.
","This class worked very well which was surprising since it is a traditional media class. Professor <Faculty Name> gives very helpful and constructive
criticism to all students and treats everyone fairly given that we are not all at the same skill level. I look forward to taking more of his
classes.
",Positive
50174,"Please give feedback on what you found effective about the instructor’s teaching style.
","She posted how-to videos that were easier to follow than her actual lecture. I didn't like her lectures but I think it was because I have a
hard time following her. I really liked her assignments they were tedious and took time and effort but were worth the experience.
",Positive
534812,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","The instructor wasn't too harsh on accuracy and an attempt meant a lot. As long as there was effort into your answer and it somehow
proved that you read the required material you get full credit
",Positive
454583,"What could the instructor do to improve the class?
","nothing, everything was awesome.
",Positive
266509,"Was this a challenging course? Explain.
","Yes, for non-biology majors, this course was very in-depth and challenging when balancing other classes with heavy emphasis for the
student's major.
",Neutral
217117,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","lectures were good and homework load was fair
",Positive
158611,"What could the instructor improve?
","He did a good job, would encourage him to continue to support class conversation on subject material.
",Positive
213144,"Provide an example and/or explanation that illustrates your rating in Question 5
","Excellent professor, is very knowledgeable on the subject, organized material, and helps his students.
",Positive
117377,"What did the instructor do well?
","He comes to class very prepared, he engages with all the students and connects class concepts to the real world of business. He talks to
everyone ad has everyone engaged in conversation. He is very approachable and willing to help students with about anything.
",Positive
512402,"What did the instructor do that you found particularly helpful?
","I think that Professor White did a good job of having explain what he expeditor for each of the assignments. I liked how on Titian everything
was very well organized and easy to find. Overall I really enjoyed taking this class!
",Positive
160579,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","She was clear about her standards from the beginning.
",Positive
576067,"What did the instructor do that you found particularly helpful or worthwhile?
","loved his lectures and the textbook was written really well.  I think the content of the class with the news curations and essay questions
really forces students to have critical thinking and I appreciated that.
",Positive
209776,"Your instructor would like to know your opinion about the textbook and/or other reading materials.
","The textbook definitely helped out on assignments and tests.
",Positive
129084,"Please provide comments explaining how organized the instructor was in presenting class materials.
","He was great professor
",Positive
458335,"Was this a challenging course?  Explain.
","This course did not challenge me to work harder. This course only challenged me to try to read and reread his directions and see what the
heck he was even saying.
",Negative
179659,"Additional comments?
","The teacher looks like <Faculty Name>.
",Ambiguous
127728,"Please write any comments in the box below.
","<Faculty Name> is an excellent speaker and professor. I absolutely enjoyed the content she presented and everything I learned and
gained from the course. The speaker she invited to our class was absolutely sensational and an amazing public speaker. I was able to get
the hang of her tests and improve my overall grade.
",Positive
313802,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","Overall this instructor is great. He clearly is very knowledgable of the topic at hand and engages great with the students. The only
downside, which is more of an inconvenience is the fact that the instructor does not like to use Titanium which can make it difficult to keep
track of everything that needs to be done and also makes it difficult to know what grade you currently have, but besides this the instructor
was great.
",Positive
261251,"What did the instructor do that you found particularly helpful or worthwhile?
","easy to talk too, knew what he was talking about, really nice
",Positive
434604,"What did the instructor do that you found particularly helpful or worthwhile?
","Positive feedback
",Positive
101143,"The laboratory administration (for example, grading policy and methods; number, length, and fairness of exams and assignments).
","fair
",Positive
86337,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","The material was a lot. However, the choice of textbook was great. The textbook was easy to understand regardless of the amount of
information it gave. It was very different from other textbooks which is good
",Positive
198296,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","The professors' powerpoint presentations were very clear on the subject for that day/week. Always had the learning outcomes for each
powerpoint.
",Positive
210601,"Please provide an example illustrating how the professor encouraged questions and/or discussion.
","professor would ask questions based on reading material and also answer any questions students had
",Positive
22110,"Please write any comments in the box below.
","This instructor is the best instructor I’ve ever had in college thus far. She makes anatomy fun and tells great stories about past clients and
really cares about everyone succeeding in her class. I had some health issues for a week and she was so understanding and truly cared
about how I was doing. I have a tough time with test, so when I came to her for help on how to study she really cared to figure out the best
way I could study to succeed. This course is challenging but she really breaks everything down. 
",Positive
213718,"How can the instructor improve the quality of this course?
","The course is perfect
",Positive
585068,"What did the instructor do well?
","The instructor was very well organized and explained very well every topic with many examples so students understand the topic clearly
and easier.
",Positive
64459,"What could the instructor improve?
","The instructor could improve the format of the project. show examples of previous projects 
",Neutral
423974,"What could the instructor do to improve the class?
","Clarity, better attention to detail. Detailed feedback about how to improve work.
",Neutral
52517,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","Online lectures are very interesting, learning new things every week. Exams and midterms are moderate. 
",Positive
478827,"What did the instructor do well?
","The lectures are very clear
",Positive
525268,"What did the instructor do that you found particularly helpful or worthwhile?
","Made very comprehendible slide shows and tests/quizzes. The workload was perfect for a one unit course.
",Positive
433281,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","This class was very interesting and I feel like Professor <Faculty Name> covered topics that his students would be interested in. This class was
difficult to take online, but I feel like he adapted the best he could in order to comply with not having in person classes. I liked having
asynchronous classes because I was able to watch the lectures on my own time and at my own pace. This helped me understand the
material more because I didn't have to rush to take notes. I really enjoyed the client pitch that he had us do and I think it was very helpful
to my future career to be able to come up with an idea and pitch it to a client.
",Positive
398344,"What did the instructor do well?
","Honestly, at this point, I just hope I pass. I expected a C when I first started this class.
",Positive
542743,"Please use the space below to provide additional comments about the instruction in this course. If you wish, include comments about
what you think the instructor has done particularly well, suggestions for possible improvements or changes, and/or explanations for
your responses to the above statements. Thank you.
","Mr. <Faculty Name> was such an amazing teacher to work with. He knew firsthand that this entire quarantine situation was not going to be easy on us
and that really showed throughout the semester. Every time we'd have a Zoom meeting he was always at his best and always reached out
to the class to ask what our thoughts were on the topics we were learning that week. Whenever I would reach out to him he made it his
mission to make things 100% clear to me which was great to have in a teacher. Whenever I needed extra time to finish a big assignment
he would give me as much time as I needed because he understood that we all have busy schedules even under these circumstances. Mr.
Neis definitely made my 1st English class for college a breeze. :)
",Positive
90833,"Please provide comments regarding your overall rating of this course (using comparable general education, upper division courses,
major or elective courses as criteria). 
",<Faculty Name>,Ambiguous
81032,"Please give feedback on what you found effective about the instructor’s teaching style.
","Videos provided helped with visual learning.
",Positive
171894,"Your instructor would like to know if there is something you believe he/she has done especially well in his/her teaching of this course.
","The chapter discussions were engaging in terms of interactions with other students in the cohort, and it was nice to actively read and
respond to students from outside of my project group.
The homework assignment and test expectations were clearly outlined and the instructor was clear when questions were raised regarding
those assignments and in feedback.
",Positive
127122,"What could you have done to improve your learning experience in this course?
","I believe the course wasn't as rigorous; I feel like I would get more value in an intense environment that forces me to ""fire on all cylinders"".
",Neutral
200193,"Please provide comments explaning how effectively the instructor used class time. 
","she used class time until the last second
",Positive
493280,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","His powerpoints are easy to follow and very interesting!
",Positive
501729,"What were the strongest features of this class?
","The strongest part of the course were the online discussions as it allowed us to communicate to each other and demonstrate our
understanding of the course material throughout the semester.
",Positive
186071,"What could the instructor improve?
","The instructor could have kept the first exam professional by not including a question that had no correct answer.
",Negative
137169,"Please provide comments regarding whether the instructor presented the course material in a clear and well organized manner.
","He used Titanium well and each week the materials and assignments were presented in a clear and concise manner.
",Positive
382711,"What could you have done to make your learning experience in this course better?
","In this course, we read many plays, either on our own or as a class. I think that when I am assigned a play to read, I read for the purpose
of class and not think about the further importance of why we are reading said play/material. I read the material for surface level
knowledge instead of analyzing and breaking down the play for further context. Also, sometimes I am unsure of the connection of the play
to the lesson. This could have easily been resolved by asking deeper questions engaging both the professor and my peers into my
education.
",Neutral
550899,"What suggestions do you have that might help the instructor increase the learning experience in this course?
","Assign the essays at the beginning of the week. It was a lot of pressure to write three well crafted essays with support from the text in a 24
hour period and a lot of sleep gets sacrificed which is not helpful for students. Be more specific regarding what you want for the context
presentation assignments. The first quiz should be if you do it you get a100 and if you don't you get a 0 OR don't give a quiz before the
students are able to gage your expectations. I would have preferred a lecture or a reading assignment regarding each Aristotelian element
of drama before being expected to write about it for a quiz grade. It was annoying at first that people who weren't even registered for the
course were participating in the conversations ( were able to come up with and articulate thoughts on the plays much faster than me) when
we were being graded on participation.
",Negative
552167,"What could the instructor do to have improved the course learning experience?
","Perhaps more videos from the actual games would be better.
",Negative
292887,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","I've never analyzed his history the way I did in this class. It was a new perspective and the way we had to express ourselves was different
compared to other classes.
",Neutral
2155,"The instructor (for example, lecture style, attitude towards students, teaching methods).
","Although she may have focused on issues such as people having their phones out distract her, I think she shouldn't lose so much time
complaining with her students when telling them to put things away. However, shes a great professor if the student puts the effort in.
",Positive
353869,"You may explain your yes/no answer to question number 1.4 in the space below.
","The professor always asked for our opinions and responses despite our answers being right or wrong.
",Negative
